group_name,type,enabled,note
17/29 Dương Văn Cam. P Linh Tây. Thủ Đức,source,1,
"170/21 Lê Đức Thọ, P6, Q. Gò Vấp",source,1,
170/9A Vườn Lài Tân Phú,source,1,
173/116 Khuông Việt - Tân Phú,source,1,
"175A Phan Huy Ích, TB",source,1,
"175B đường số 20, phường 5, Gò Vấp",source,1,
"18 - 20 Bùi Thị Xuân, Tân Sơn Hoà",source,1,
18/20 Lê Lai Gò Vấp,source,1,
"18/72B Trần Quang Diệu, P.14, Quận 3",source,1,
183/36 đường số 28 P6 GV - Thiên An House,source,1,
187 điện biên phủ sales,source,1,
188 ĐƯỜNG SỐ 8 GV - 88 PHÒNG,source,1,
"188 quốc lộ 13 khu phố 2, hiệp bình chánh thủ đức",source,1,
18B Trần Thái Tông - Megas,source,1,
19 Bế Văn Đàn - Tân Bình,source,1,
"190 Nguyễn Thị Minh Khai, P Võ Thị Sáu, Quận 3",source,1,
"191/A22 Cống Quỳnh, Nguyễn Cư Trinh, Quận 1",source,1,
"1942/67 Huỳnh Tấn Phát, Nhà Bè",source,1,
196/44 Cộng Hoà P12 Tân Bình,source,1,
197 Nguyễn Văn Lượng Gò Vấp,source,1,
19B Đường Phú Thuận - P. Phú Thuận - Quận 7,source,1,
1A Nguyễn Văn Lượng Gò Vấp,source,1,
1B5 Hà Huy Giáp Q12 & 604 Nguyễn Oanh GV,source,1,
"1PN-2PN-Duplex-Q1,Q3,Q10 ( Ban Công )",source,1,
2 Trần Quang Khải . Q1 CTV,source,1,
"20 Nguyễn Chánh Sắt, Tân Bình",source,1,
"201/40 NGUYỄN THÁI SƠN,P7,GÒ VẤP",source,1,
205 LTBC Q11,source,1,
209 hoàng hoa thám TÂN BÌNH,source,1,
"20A Lam Sơn, P2, Tân Bình",source,1,
21/3/3 Trường Sơn P4 Tân Bình,source,1,
21/5 Trường Sơn Tân Bình,source,1,
"210/9 An Phú Đông 03, An Phú Đông",source,1,
212 Nguyễn Văn Lượng P17 GV-( KHAIK HOUSE ),source,1,
"212/4 Nguyễn Oanh, P17, GÒ VẤP",source,1,
212b/d25-214/b8 Nguyễn Trãi Sale,source,1,
215 Nguyễn Đình Chính,source,1,
"216/7/7 Nguyễn Văn Công, P3, Gò Vấp",source,1,
"219 Tân Sơn, Sân bay, Tân Bình - PIKA HOUSE",source,1,
22 Thăng Long P4 Tân bình,source,1,
